Product name,Merchant category,Google category
Categories -> Home -> Home Cleaning & Maintenance -> Ironing -> All Ironing Products,,
Categories -> Home -> Home Cleaning & Maintenance -> Ironing -> Ironing Board Covers,,
Categories -> Home -> Home Cleaning & Maintenance -> Ironing -> Ironing Board,,
Categories -> Home -> Home Cleaning & Maintenance -> Ironing -> Clothes Dryer,,
Categories -> Home -> Home Cleaning & Maintenance -> All Home Cleaning & Maintenance Products,,
Categories -> Home -> Home Cleaning & Maintenance -> Toilet Paper,,
Categories -> Home -> Home Cleaning & Maintenance -> Tissue,,
Categories -> Home -> Toilets and Bathrooms -> Towels -> All Towel Products,Home & Garden --> Linens & Bedding --> Towels,
Categories -> Home -> Toilets and Bathrooms -> Towels -> Beach Towels,Home & Garden --> Linens & Bedding --> Towels,
Categories -> Home -> Toilets and Bathrooms -> Towels -> Interior Towels,Home & Garden --> Linens & Bedding --> Towels,
Categories -> Home -> Toilets and Bathrooms -> Towels -> Bathroom Towels,Home & Garden --> Linens & Bedding --> Towels,
Categories -> Home -> Toilets and bathrooms -> All toilet and bathroom products,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Dispensers for toothpastes,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Shower Heads,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Bathroom Curtains,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Toothbrush Stands,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Soaps and Dispensers,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and bathrooms -> Toilet brushes,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Shower Network Fixture,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Toilet Paper Dispenser,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Toilet and bathroom bins,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Hair Dryer Rack,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Toilets and Bathrooms -> Towel Rack,Hardware --> Plumbing --> Plumbing Fixtures --> Toilets & Bidets --> Toilets,
Categories -> Home -> Kitchen -> Amount -> All Amount Products,,
Categories -> Home -> Kitchen -> Amount -> Bread Knives,,
Categories -> Home -> Kitchen -> Sum -> Knife Sharpener,,
Categories -> Home -> Kitchen -> Sum -> Knife Set,,
Categories -> Home -> Kitchen -> Amount -> Spoons,Home & Garden --> Kitchen & Dining --> Tableware --> Flatware --> Spoons,
Categories -> Home -> Kitchen -> Amount -> Kitchen Knives,,
Categories -> Home -> Kitchen -> Amount -> Amount Set,,
Categories -> Home -> Kitchen -> Amount -> Chef's Knives,,
Categories -> Home -> Kitchen -> Food & Beverage -> All Food & Beverage Products,,
Categories -> Home -> Kitchen -> Utensils -> Hot drinks,,
Categories -> Home -> Kitchen -> Food & Drink Utensils -> Serving Bowls,Home & Garden --> Kitchen & Dining --> Tableware --> Dinnerware --> Bowls,
Categories -> Home -> Kitchen -> Food & Drink Utensils -> Serving Plate,,
Categories -> Home -> Kitchen -> Food & Drink Utensils -> Bowls,Home & Garden --> Kitchen & Dining --> Tableware --> Dinnerware --> Bowls,
Categories -> Home -> Kitchen -> Utensils -> Cold drinks,,
Categories -> Home -> Kitchen -> Storage and organization of the kitchen -> All storage and organization of the kitchen,,
Categories -> Home -> Kitchen -> Storage and organization of the kitchen -> Dryers and amount,Home & Garden --> Household Appliances --> Laundry Appliances --> Dryers,
Categories -> Home -> Kitchen -> Storage and organization of the kitchen -> Storage facilities for plates,,
Categories -> Home -> Kitchen -> Storage and organization of the kitchen -> Organization and storage of spices,,
Categories -> Home -> Kitchen -> Storage and organization of the kitchen -> Hanging systems of kitchen utensils,,
Categories -> Home -> Kitchen -> Storage and organization of the kitchen -> Drawer dividers for the amount,,
Categories -> Home -> Kitchen -> Storage and organization of the kitchen -> Paper towel racks,,
Categories -> Home -> Kitchen -> Disposable and consumable -> All disposable and consumable products,,
Categories -> Home -> Kitchen -> Disposable and consumable -> Disposable molds,,
Categories -> Home -> Kitchen -> Disposable and consumable -> Hard,,
Categories -> Home -> Kitchen -> Disposable and consumable -> Aluminum molds,,
Categories -> Home -> Kitchen -> Disposable and consumables -> Lunch bags,,
Categories -> Home -> Kitchen -> Disposable and consumable -> Baking paper,,
Categories -> Home -> Kitchen -> Disposable and consumables -> Paper towels,,
Categories -> Home -> Kitchen -> Disposable and consumable -> Nylon clings,,
Categories -> Home -> Kitchen -> Disposable and consumable -> Aluminum foil,,
Categories -> Home -> Kitchen -> Disposable and consumable -> Cufflinks,Apparel & Accessories --> Clothing Accessories --> Cufflinks,
Categories -> Home -> Kitchen -> Equipment and tools for wine and bar -> All equipment and tools for wine and bar,,
Categories -> Home -> Kitchen -> Equipment and tools for wine and bar -> Corkscrews,Home & Garden --> Kitchen & Dining --> Barware --> Corkscrews,
Categories -> Home -> Kitchen -> Kitchen Accessories -> All Kitchen Accessories Products,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Six,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Kitchen Crushers,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Mandolins,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Manual Juicers,Home & Garden --> Kitchen & Dining --> Kitchen Appliances --> Juicers,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Wine Bottle Opener,"Food, Beverages & Tobacco --> Beverages --> Alcoholic Beverages --> Wine",
Categories -> Home -> Kitchen -> Kitchen Accessories -> Oil Sprayers,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Filters,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Thawing surfaces,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Garlic Crusher,"Food, Beverages & Tobacco --> Food Items --> Fruits & Vegetables --> Fresh & Frozen Vegetables --> Garlic",
Categories -> Home -> Kitchen -> Kitchen Accessories -> Grates,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Packaging Brackets,,
Categories -> Home -> Kitchen -> Kitchen Accessories -> Vegetable Choppers,,
Categories -> Home -> Kitchen -> Cooking and Baking -> All Cooking and Baking Products,,
Categories -> Home -> Kitchen -> Cooking and Baking -> Pans,,
Categories -> Home -> Kitchen -> Cooking and Baking -> Chopping boards,,
Categories -> Home -> Kitchen -> Cooking and Baking -> Pots,,
Categories -> Home -> Kitchen -> Cooking and Baking -> Grilling Plants,Home & Garden --> Plants,
Categories -> Home -> Kitchen -> Cooking and Baking -> Pressure Pots,,
Categories -> Home -> Kitchen -> Cooking and Baking -> Soutzes,,
